question;correc answer;incorrect answer 1;incorrect answer 2;incorrect answer 3
Select the correct answer:;Fundamental Magnitudes are (mainly) length, mass, and time;Fundamental Magnitudes are (mainly) length, mass, and speed;Fundamental Magnitudes are (mainly) length, mass, and energy;Fundamental Magnitudes are (mainly) energy, mass, and time
The unit in the International System for length is...;meter;kilometer;centimeter;millimeter
The unit in the International System for energy is...;joule;kilojoule;cal;kilocal
Extensive properties...;vary with the amount of the substance;depends on the type of substance;both are correct;neither is correct
Which magnitude is a measure of the resistance to acceleration?;Mass;Volume;Density;Velocity
According to the kinetic-molecular theory, between the particles of matter...;there are atractive forces;there are respulsive forces;there are attractive and repulsive forces;there are no forces
"Particles only vibrate around fixed position." We are talking about...;solids;liquids;gases;plasma
Passing from solid to gas is...;sublimation;freezing;deposition;no, that's imposible
How the speed of the particles depend on temperature?;The higher the temperature, the faster they move;The lower the temperature, the faster they move;The temperature has nothing to do with the speed of particles;The particles only move in liquids and gases
"There are attractive forces between particles of medium intensity." We are talking about;Liquids;Solids;Gases;Plasma
